"country_iso3_numeric","area.code","prod_method","species.alpha_3_code","year","unit_code","quantity","country_identifier","country_iso2_code","country_iso3_alpha","country_name_en","country_official_name_en","continent_group_en","ecoclass_group_en","georegion_group_en","area_name_en","ocean_group_en","habitat","faregion_group_en","production_identifier","production_name_en","sort","species_taxonomic_code","species_identifier","CommonName","SciName","author","species_major_group","yearbook_group_en","isscaap_group","cpc_class_en","cpc_group_en","unit_description_en","unit_identifier","unit_name_en","sws_unit","unit","symbol_description_en","symbol_name_en","Species01","Genus01","Family01","Other01","fao_habitat","taxa_source","Fresh01","Brack01","Saltwater01","fb_habitat"
100,37,"capture","CSH",2018,"Q_tlw",1,27,"BG","BGR","Bulgaria","the Republic of Bulgaria","Europe","Developed countries or areas","Eastern Europe","Mediterranean and Black Sea","Atlantic Ocean and adjacent seas","marine","Central regions",4,"Capture production",40,"2282300303",3435,"common shrimp","crangon crangon","(Linnaeus 1758)","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Shrimps, prawns","Cold-water shrimps and prawns (Pandalus spp., Crangon crangon), live, fresh or chilled","Crustaceans, live, fresh or chilled","Observed measure unit (Tonnes - live weight)",9,"Tonnes - live weight",NA,"t",NA,NA,1,0,0,0,"marine","crangon.crangon_marine_capture",0,1,1,"marine"
104,57,"capture","DCP",2018,"Q_tlw",27703,28,"MM","MMR","Myanmar","the Republic of the Union of Myanmar","Asia","Least Developed Countries","South-Eastern Asia","Indian Ocean, Eastern","Indian Ocean","marine","Central regions",4,"Capture production",40,"228XXXXXXX",3397,"natantian decapods nei","crangonidae",NA,"CRUSTACEA","Fish, crustaceans and molluscs, etc.","Shrimps, prawns","Other shrimps and prawns, live, fresh or chilled","Crustaceans, live, fresh or chilled","Observed measure unit (Tonnes - live weight)",9,"Tonnes - live weight",NA,"t","FAO estimate from available sources of information or calculation based on specific assumptions","ESTIMATE",0,0,1,0,"marine","crangonidae_marine_capture",NA,NA,NA,NA
116,71,"capture","DCP",2018,"Q_tlw",11350,115,"KH","KHM","Cambodia","the Kingdom of Cambodia","Asia","Least Developed Countries","South-Eastern Asia","Pacific, Western Central","Pacific Ocean","marine","Central regions",4,"Capture production",40,"228XXXXXXX",3397,"natantian decapods nei","crangonidae",NA,"CRUSTACEA","Fish, crustaceans and molluscs, etc.","Shrimps, prawns","Other shrimps and prawns, live, fresh or chilled","Crustaceans, live, fresh or chilled","Observed measure unit (Tonnes - live weight)",9,"Tonnes - live weight",NA,"t","FAO estimate from available sources of information or calculation based on specific assumptions","ESTIMATE",0,0,1,0,"marine","crangonidae_marine_capture",NA,NA,NA,NA
12,37,"capture","DPS",2018,"Q_tlw",1090,4,"DZ","DZA","Algeria","the People's Democratic Republic of Algeria","Africa","Other developing countries or areas","Northern Africa","Mediterranean and Black Sea","Atlantic Ocean and adjacent seas","marine","Central regions",4,"Capture production",40,"2280101701",2598,"deep-water rose shrimp","parapenaeus longirostris","(Lucas 1846)","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Shrimps, prawns","Other shrimps and prawns, live, fresh or chilled","Crustaceans, live, fresh or chilled","Observed measure unit (Tonnes - live weight)",9,"Tonnes - live weight",NA,"t",NA,NA,1,0,0,0,"marine","parapenaeus.longirostris_marine_capture",0,0,1,"marine"
12,37,"capture","ARA",2018,"Q_tlw",840,4,"DZ","DZA","Algeria","the People's Democratic Republic of Algeria","Africa","Other developing countries or areas","Northern Africa","Mediterranean and Black Sea","Atlantic Ocean and adjacent seas","marine","Central regions",4,"Capture production",40,"2280203101",3422,"blue and red shrimp","aristeus antennatus","(Risso 1816)","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Shrimps, prawns","Other shrimps and prawns, live, fresh or chilled","Crustaceans, live, fresh or chilled","Observed measure unit (Tonnes - live weight)",9,"Tonnes - live weight",NA,"t",NA,NA,1,0,0,0,"marine","aristeus.antennatus_marine_capture",0,0,1,"marine"
120,34,"capture","PEN",2018,"Q_tlw",30830,32,"CM","CMR","Cameroon","the Republic of Cameroon","Africa","Other developing countries or areas","Middle Africa","Atlantic, Eastern Central","Atlantic Ocean and adjacent seas","marine","Central regions",4,"Capture production",40,"22801001XX",3399,"penaeus shrimps nei","penaeus",NA,"CRUSTACEA","Fish, crustaceans and molluscs, etc.","Shrimps, prawns","Other shrimps and prawns, live, fresh or chilled","Crustaceans, live, fresh or chilled","Observed measure unit (Tonnes - live weight)",9,"Tonnes - live weight",NA,"t",NA,NA,0,1,0,0,"marine","penaeus_marine_capture",NA,NA,NA,NA
124,21,"capture","PAN",2018,"Q_tlw",83053,33,"CA","CAN","Canada","Canada","Americas","Developed countries or areas","Northern America","Atlantic, Northwest","Atlantic Ocean and adjacent seas","marine","Northern regions",4,"Capture production",40,"22804002XX",2604,"pandalus shrimps nei","pandalus",NA,"CRUSTACEA","Fish, crustaceans and molluscs, etc.","Shrimps, prawns","Cold-water shrimps and prawns (Pandalus spp., Crangon crangon), live, fresh or chilled","Crustaceans, live, fresh or chilled","Observed measure unit (Tonnes - live weight)",9,"Tonnes - live weight",NA,"t",NA,NA,0,1,0,0,"marine","pandalus_marine_capture",NA,NA,NA,NA
124,67,"capture","DCP",2018,"Q_tlw",2013,33,"CA","CAN","Canada","Canada","Americas","Developed countries or areas","Northern America","Pacific, Northeast","Pacific Ocean","marine","Northern regions",4,"Capture production",40,"228XXXXXXX",3397,"natantian decapods nei","crangonidae",NA,"CRUSTACEA","Fish, crustaceans and molluscs, etc.","Shrimps, prawns","Other shrimps and prawns, live, fresh or chilled","Crustaceans, live, fresh or chilled","Observed measure unit (Tonnes - live weight)",9,"Tonnes - live weight",NA,"t",NA,NA,0,0,1,0,"marine","crangonidae_marine_capture",NA,NA,NA,NA
152,87,"capture","CHS",2018,"Q_tlw",5288,40,"CL","CHL","Chile","the Republic of Chile","Americas","Other developing countries or areas","South America","Pacific, Southeast","Pacific Ocean","marine","Southern regions",4,"Capture production",40,"2280400501",2605,"chilean nylon shrimp","heterocarpus reedi","Bahamonde 1955","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Shrimps, prawns","Cold-water shrimps and prawns (Pandalus spp., Crangon crangon), live, fresh or chilled","Crustaceans, live, fresh or chilled","Observed measure unit (Tonnes - live weight)",9,"Tonnes - live weight",NA,"t",NA,NA,1,0,0,0,"marine","heterocarpus.reedi_marine_capture",0,0,1,"marine"
152,87,"capture","HJD",2018,"Q_tlw",84,40,"CL","CHL","Chile","the Republic of Chile","Americas","Other developing countries or areas","South America","Pacific, Southeast","Pacific Ocean","marine","Southern regions",4,"Capture production",40,"2282907303",16661,"chilean knife shrimp","haliporoides diomedeae","(Faxon 1893)","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Shrimps, prawns","Other shrimps and prawns, live, fresh or chilled","Crustaceans, live, fresh or chilled","Observed measure unit (Tonnes - live weight)",9,"Tonnes - live weight",NA,"t",NA,NA,1,0,0,0,"marine","haliporoides.diomedeae_marine_capture",0,0,1,"marine"
156,61,"capture","FLP",2018,"Q_tlw",223082,41,"CN","CHN","China","the People's Republic of China","Asia","Other developing countries or areas","Eastern Asia","Pacific, Northwest","Pacific Ocean","marine","Northern regions",4,"Capture production",40,"2280100116",2586,"fleshy prawn","penaeus chinensis","(Osbeck 1765)","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Shrimps, prawns","Other shrimps and prawns, live, fresh or chilled","Crustaceans, live, fresh or chilled","Observed measure unit (Tonnes - live weight)",9,"Tonnes - live weight",NA,"t",NA,NA,1,0,0,0,"marine","penaeus.chinensis_marine_capture",0,1,1,"marine"
156,61,"capture","TRV",2018,"Q_tlw",245035,41,"CN","CHN","China","the People's Republic of China","Asia","Other developing countries or areas","Eastern Asia","Pacific, Northwest","Pacific Ocean","marine","Northern regions",4,"Capture production",40,"2280104302",3419,"southern rough shrimp","trachysalambria curvirostris","(Stimpson 1860)","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Shrimps, prawns","Other shrimps and prawns, live, fresh or chilled","Crustaceans, live, fresh or chilled","Observed measure unit (Tonnes - live weight)",9,"Tonnes - live weight",NA,"t",NA,NA,1,0,0,0,"marine","trachysalambria.curvirostris_marine_capture",0,0,1,"marine"
156,61,"capture","AKS",2018,"Q_tlw",425185,41,"CN","CHN","China","the People's Republic of China","Asia","Other developing countries or areas","Eastern Asia","Pacific, Northwest","Pacific Ocean","marine","Northern regions",4,"Capture production",40,"2280700903",3428,"akiami paste shrimp","acetes japonicus","Kishinouye 1905","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Shrimps, prawns","Other shrimps and prawns, live, fresh or chilled","Crustaceans, live, fresh or chilled","Observed measure unit (Tonnes - live weight)",9,"Tonnes - live weight",NA,"t",NA,NA,1,0,0,0,"marine","acetes.japonicus_marine_capture",0,1,1,"marine"
156,61,"capture","DCP",2018,"Q_tlw",196131,41,"CN","CHN","China","the People's Republic of China","Asia","Other developing countries or areas","Eastern Asia","Pacific, Northwest","Pacific Ocean","marine","Northern regions",4,"Capture production",40,"228XXXXXXX",3397,"natantian decapods nei","crangonidae",NA,"CRUSTACEA","Fish, crustaceans and molluscs, etc.","Shrimps, prawns","Other shrimps and prawns, live, fresh or chilled","Crustaceans, live, fresh or chilled","Observed measure unit (Tonnes - live weight)",9,"Tonnes - live weight",NA,"t",NA,NA,0,0,1,0,"marine","crangonidae_marine_capture",NA,NA,NA,NA
158,61,"capture","KUP",2018,"Q_tlw",25,214,"TW","TWN","Taiwan Province of China","Taiwan Province of China","Asia","Other developing countries or areas","Eastern Asia","Pacific, Northwest","Pacific Ocean","marine","Northern regions",4,"Capture production",40,"2280100109",2584,"kuruma prawn","marsupenaeus japonicus","Bate 1888","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Shrimps, prawns","Other shrimps and prawns, live, fresh or chilled","Crustaceans, live, fresh or chilled","Observed measure unit (Tonnes - live weight)",9,"Tonnes - live weight",NA,"t",NA,NA,1,0,0,0,"marine","marsupenaeus.japonicus_marine_capture",0,0,1,"marine"
158,61,"capture","PNV",2018,"Q_tlw",48,214,"TW","TWN","Taiwan Province of China","Taiwan Province of China","Asia","Other developing countries or areas","Eastern Asia","Pacific, Northwest","Pacific Ocean","marine","Northern regions",4,"Capture production",40,"2280100111",3404,"whiteleg shrimp","litopenaeus vannamei","Boone 1931","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Shrimps, prawns","Other shrimps and prawns, live, fresh or chilled","Crustaceans, live, fresh or chilled","Observed measure unit (Tonnes - live weight)",9,"Tonnes - live weight",NA,"t",NA,NA,1,0,0,0,"marine","litopenaeus.vannamei_marine_capture",0,1,1,"marine"
158,61,"capture","GIT",2018,"Q_tlw",11,214,"TW","TWN","Taiwan Province of China","Taiwan Province of China","Asia","Other developing countries or areas","Eastern Asia","Pacific, Northwest","Pacific Ocean","marine","Northern regions",4,"Capture production",40,"2280100112",3405,"giant tiger prawn","penaeus monodon","Fabricius 1798","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Shrimps, prawns","Other shrimps and prawns, live, fresh or chilled","Crustaceans, live, fresh or chilled","Observed measure unit (Tonnes - live weight)",9,"Tonnes - live weight",NA,"t",NA,NA,1,0,0,0,"marine","penaeus.monodon_marine_capture",0,1,1,"marine"
158,61,"capture","REP",2018,"Q_tlw",84,214,"TW","TWN","Taiwan Province of China","Taiwan Province of China","Asia","Other developing countries or areas","Eastern Asia","Pacific, Northwest","Pacific Ocean","marine","Northern regions",4,"Capture production",40,"2280100130",2590,"redtail prawn","penaeus penicillatus","Alcock 1905","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Shrimps, prawns","Other shrimps and prawns, live, fresh or chilled","Crustaceans, live, fresh or chilled","Observed measure unit (Tonnes - live weight)",9,"Tonnes - live weight",NA,"t",NA,NA,1,0,0,0,"marine","penaeus.penicillatus_marine_capture",0,1,1,"marine"
