"iso3c","country_name","year","pop"
"AFG","Afghanistan",2018,36686784
"AGO","Angola",2018,31273533
"ALB","Albania",2018,2877013
"AND","Andorra",2018,75013
"ARE","United Arab Emirates",2018,9140169
"ARG","Argentina",2018,44413596
"ARM","Armenia",2018,2836557
"ATG","Antigua & Barbuda",2018,91626
"AUS","Australia",2018,24979230
"AUT","Austria",2018,8840513
"AZE","Azerbaijan",2018,10152522
"BDI","Burundi",2018,11493472
"BEL","Belgium",2018,12056508
"BEN","Benin",2018,11940683
"BFA","Burkina Faso",2018,20392723
"BGD","Bangladesh",2018,163683958
"BGR","Bulgaria",2018,7117431
"BHR","Bahrain",2018,1487340
"BHS","Bahamas",2018,401906
"BIH","Bosnia & Herzegovina",2018,3400129
"BLR","Belarus",2018,9695574
"BLZ","Belize",2018,382066
"BOL","Bolivia",2018,11606905
"BRA","Brazil",2018,210166592
"BRB","Barbados",2018,279688
"BRN","Brunei",2018,434274
"BTN","Bhutan",2018,762096
"BWA","Botswana",2018,2451409
"CAF","Central African Republic",2018,5094780
"CAN","Canada",2018,37035254
"CHE","Switzerland",2018,8514434
"CHL","Chile",2018,18701450
"CHN","China",2018,1425202014
"CIV","Côte d’Ivoire",2018,25493988
"CMR","Cameroon",2018,25076747
"COD","Congo - Kinshasa",2018,87087355
"COG","Congo - Brazzaville",2018,5441062
"COL","Colombia",2018,49276961
"COM","Comoros",2018,776313
"CPV","Cape Verde",2018,571202
"CRI","Costa Rica",2018,5040734
"CUB","Cuba",2018,11328244
"CYP","Cyprus",2018,1218831
"CZE","Czechia",2018,10534593
"DEU","Germany",2018,82896696
"DJI","Djibouti",2018,1057198
"DMA","Dominica",2018,70823
"DNK","Denmark",2018,5873572
"DOM","Dominican Republic",2018,10765531
"DZA","Algeria",2018,41927007
"ECU","Ecuador",2018,17015672
"EGY","Egypt",2018,103740765
"ERI","Eritrea",2018,3445374
"ESP","Spain",2018,46792043
"EST","Estonia",2018,1322148
"ETH","Ethiopia",2018,111129438
"FIN","Finland",2018,5515461
"FJI","Fiji",2018,918996
"FRA","France",2018,67231084
"FSM","Micronesia (Federated States of)",2018,110929
"GAB","Gabon",2018,2192012
"GBR","United Kingdom",2018,66774002
"GEO","Georgia",2018,3772325
"GHA","Ghana",2018,30870641
"GIN","Guinea",2018,12554864
"GMB","Gambia",2018,2444916
"GNB","Guinea-Bissau",2018,1924955
"GNQ","Equatorial Guinea",2018,1502091
"GRC","Greece",2018,10633271
"GRD","Grenada",2018,121838
"GTM","Guatemala",2018,16850176
"GUY","Guyana",2018,785514
"HND","Honduras",2018,9792850
"HRV","Croatia",2018,4160485
"HTI","Haiti",2018,11012421
"HUN","Hungary",2018,9776358
"IDN","Indonesia",2018,267066843
"IND","India",2018,1369003306
"IRL","Ireland",2018,4834507
"IRN","Iran",2018,85617562
"IRQ","Iraq",2018,40590700
"ISL","Iceland",2018,352946
"ISR","Israel",2018,8456483
"ITA","Italy",2018,59877425
"JAM","Jamaica",2018,2811835
"JOR","Jordan",2018,10459865
"JPN","Japan",2018,126255866
"KAZ","Kazakhstan",2018,18538099
"KEN","Kenya",2018,49953304
"KGZ","Kyrgyzstan",2018,6223494
"KHM","Cambodia",2018,16025238
"KIR","Kiribati",2018,122261
"KNA","St. Kitts & Nevis",2018,47761
"KOR","South Korea",2018,51676900
"KWT","Kuwait",2018,4317185
"LAO","Laos",2018,7105006
"LBN","Lebanon",2018,5950839
"LBR","Liberia",2018,4889391
"LBY","Libya",2018,6477793
"LCA","St. Lucia",2018,177888
"LIE","Liechtenstein",2018,38181
"LKA","Sri Lanka",2018,21580710
"LSO","Lesotho",2018,2198017
"LTU","Lithuania",2018,2876128
"LVA","Latvia",2018,1935630
"MAR","Morocco",2018,35927511
"MDA","Moldova",2018,3141837
"MDG","Madagascar",2018,26846541
"MDV","Maldives",2018,489758
"MEX","Mexico",2018,124013861
"MHL","Marshall Islands",2018,45989
"MKD","North Macedonia",2018,2113491
"MLI","Mali",2018,19934298
"MLT","Malta",2018,491586
"MMR","Myanmar (Burma)",2018,52666014
"MNE","Montenegro",2018,631455
"MNG","Mongolia",2018,3163991
"MOZ","Mozambique",2018,29423878
"MRT","Mauritania",2018,4270712
"MSR","Montserrat",2018,4359
"MUS","Mauritius",2018,1295381
"MWI","Malawi",2018,18367883
"MYS","Malaysia",2018,32399271
"NAM","Namibia",2018,2405680
"NER","Niger",2018,22577058
"NGA","Nigeria",2018,198387623
"NIC","Nicaragua",2018,6572233
"NLD","Netherlands",2018,17643942
"NOR","Norway",2018,5312320
"NPL","Nepal",2018,28506712
"NRU","Nauru",2018,11924
"NZL","New Zealand",2018,4859287
"OMN","Oman",2018,4601157
"PAK","Pakistan",2018,219731479
"PAN","Panama",2018,4165255
"PER","Peru",2018,32203944
"PHL","Philippines",2018,108568836
"PLW","Palau",2018,17864
"PNG","Papua New Guinea",2018,9329227
"POL","Poland",2018,38521457
"PRK","North Korea",2018,25638149
"PRT","Portugal",2018,10289835
"PRY","Paraguay",2018,6443328
"PSE","Palestinian Territories",2018,4805547
"QAT","Qatar",2018,2766732
"ROU","Romania",2018,19606783
"RUS","Russia",2018,145652293
"RWA","Rwanda",2018,12531808
"SAU","Saudi Arabia",2018,35018133
"SCG","Serbia and Montenegro",2018,0
"SDN","Sudan",2018,41999059
"SEN","Senegal",2018,15574909
"SGP","Singapore",2018,5814537
"SLB","Solomon Islands",2018,659249
"SLE","Sierra Leone",2018,7861281
"SLV","El Salvador",2018,6276342
"SMR","San Marino",2018,34156
"SOM","Somalia",2018,15411094
"SRB","Serbia",2018,7433818
"SSD","South Sudan",2018,10395329
"STP","São Tomé & Príncipe",2018,211344
"SUR","Suriname",2018,593715
"SVK","Slovakia",2018,5446745
"SVN","Slovenia",2018,2105924
"SWE","Sweden",2018,10162298
"SWZ","Eswatini",2018,1160428
"SYC","Seychelles",2018,103101
"SYR","Syria",2018,19333463
"TCD","Chad",2018,15604210
"TGO","Togo",2018,8046679
"THA","Thailand",2018,71127802
"TJK","Tajikistan",2018,9128132
"TKM","Turkmenistan",2018,6065066
"TLS","Timor-Leste",2018,1261845
"TON","Tonga",2018,105150
"TTO","Trinidad & Tobago",2018,1504709
"TUN","Tunisia",2018,11933041
"TUR","Turkey",2018,82809304
"TUV","Tuvalu",2018,10865
"TWN","Taiwan",2018,23726185
"TZA","Tanzania",2018,58090443
"UGA","Uganda",2018,41515395
"UKR","Ukraine",2018,44446954
