"Code_pre","Code_post","Description_pre","Description_post","n_pre","n_post","Pct_shared_pre","Pct_shared_post","Presentation_pre","Presentation_post","State_pre","State_post","Presentation_test","State_test","Conversion_test"
30616,30616,"crustaceans; frozen, cold-water shrimps and prawns (pandalus spp., crangon crangon), in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","crustaceans; frozen, cold-water shrimps and prawns (pandalus spp., crangon crangon), in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",8,8,1,1,"non-fish, non-fmp form","non-fish, non-fmp form","frozen","frozen",1,1,1
30626,30616,"crustaceans; not frozen, cold-water shrimps and prawns (pandalus spp., crangon crangon), in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flour, meals, and pellets","crustaceans; frozen, cold-water shrimps and prawns (pandalus spp., crangon crangon), in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",8,8,1,1,"non-fish, non-fmp form","non-fish, non-fmp form","fresh","frozen",1,1,1
30617,30617,"crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",67,67,1,1,"non-fish, non-fmp form","non-fish, non-fmp form","frozen","frozen",1,1,1
30627,30617,"crustaceans; not frozen, shrimps and prawns excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flour, meals, and pellets","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",67,67,1,1,"non-fish, non-fmp form","non-fish, non-fmp form","fresh","frozen",1,1,1
30616,30626,"crustaceans; frozen, cold-water shrimps and prawns (pandalus spp., crangon crangon), in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","crustaceans; not frozen, cold-water shrimps and prawns (pandalus spp., crangon crangon), in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flour, meals, and pellets",8,8,1,1,"non-fish, non-fmp form","non-fish, non-fmp form","frozen","preserved",1,1,1
30626,30626,"crustaceans; not frozen, cold-water shrimps and prawns (pandalus spp., crangon crangon), in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flour, meals, and pellets","crustaceans; not frozen, cold-water shrimps and prawns (pandalus spp., crangon crangon), in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flour, meals, and pellets",8,8,1,1,"non-fish, non-fmp form","non-fish, non-fmp form","fresh","preserved",1,1,1
30617,30627,"crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","crustaceans; not frozen, shrimps and prawns excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flour, meals, and pellets",67,67,1,1,"non-fish, non-fmp form","non-fish, non-fmp form","frozen","preserved",1,1,1
30627,30627,"crustaceans; not frozen, shrimps and prawns excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flour, meals, and pellets","crustaceans; not frozen, shrimps and prawns excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flour, meals, and pellets",67,67,1,1,"non-fish, non-fmp form","non-fish, non-fmp form","fresh","preserved",1,1,1
30616,160521,"crustaceans; frozen, cold-water shrimps and prawns (pandalus spp., crangon crangon), in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","crustacean preparations; shrimps and prawns, prepared or preserved, not in airtight containers",8,75,1,0.106666666666667,"non-fish, non-fmp form","non-fish, non-fmp form","frozen","preserved",1,1,1
30617,160521,"crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","crustacean preparations; shrimps and prawns, prepared or preserved, not in airtight containers",67,75,1,0.893333333333333,"non-fish, non-fmp form","non-fish, non-fmp form","frozen","preserved",1,1,1
30626,160521,"crustaceans; not frozen, cold-water shrimps and prawns (pandalus spp., crangon crangon), in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flour, meals, and pellets","crustacean preparations; shrimps and prawns, prepared or preserved, not in airtight containers",8,75,1,0.106666666666667,"non-fish, non-fmp form","non-fish, non-fmp form","fresh","preserved",1,1,1
