"exporter_iso3c","exporter_country","importer_iso3c","importer_country","hs6","year","hs_version","total_q"
"AFG","Afghanistan","CAN","Canada",30627,2018,"HS12",0.15
"AGO","Angola","ESP","Spain",30616,2018,"HS12",522.896
"AGO","Angola","ESP","Spain",30617,2018,"HS12",1259.018
"AGO","Angola","NAM","Namibia",30617,2018,"HS12",0.066
"AGO","Angola","PRT","Portugal",30617,2018,"HS12",728.778
"ALB","Albania","CHE","Switzerland",30617,2018,"HS12",0.252
"ALB","Albania","DNK","Denmark",30617,2018,"HS12",18.58
"ALB","Albania","ESP","Spain",30617,2018,"HS12",152.836
"ALB","Albania","EST","Estonia",160529,2018,"HS12",520.464
"ALB","Albania","FRA","France",30617,2018,"HS12",1.698
"ALB","Albania","ITA","Italy",30617,2018,"HS12",152.088
"ALB","Albania","ITA","Italy",160521,2018,"HS12",5.886
"ALB","Albania","ITA","Italy",160529,2018,"HS12",2.189
"ALB","Albania","MNE","Montenegro",30617,2018,"HS12",2.432
"ALB","Albania","SRB","Serbia",30617,2018,"HS12",14.233
"ALB","Albania","SRB","Serbia",30627,2018,"HS12",0.636
"ALB","Albania","SWE","Sweden",160521,2018,"HS12",2202
"ARE","United Arab Emirates","AFG","Afghanistan",30616,2018,"HS12",5.495
"ARE","United Arab Emirates","AFG","Afghanistan",30617,2018,"HS12",24.216
"ARE","United Arab Emirates","AFG","Afghanistan",30626,2018,"HS12",12.662
"ARE","United Arab Emirates","AFG","Afghanistan",30627,2018,"HS12",0.317
"ARE","United Arab Emirates","AFG","Afghanistan",160521,2018,"HS12",13.894
"ARE","United Arab Emirates","AFG","Afghanistan",160529,2018,"HS12",179.585
"ARE","United Arab Emirates","AZE","Azerbaijan",30616,2018,"HS12",4.652
"ARE","United Arab Emirates","AZE","Azerbaijan",30617,2018,"HS12",3.251
"ARE","United Arab Emirates","AZE","Azerbaijan",30626,2018,"HS12",2.42
"ARE","United Arab Emirates","AZE","Azerbaijan",30627,2018,"HS12",3.335
"ARE","United Arab Emirates","BHR","Bahrain",30616,2018,"HS12",1.399
"ARE","United Arab Emirates","BHR","Bahrain",30617,2018,"HS12",117.944
"ARE","United Arab Emirates","BHR","Bahrain",30627,2018,"HS12",22.919
"ARE","United Arab Emirates","BHR","Bahrain",160521,2018,"HS12",0.372
"ARE","United Arab Emirates","BHR","Bahrain",160529,2018,"HS12",25.167
"ARE","United Arab Emirates","CAF","Central African Republic",30617,2018,"HS12",40.18
"ARE","United Arab Emirates","CAN","Canada",160521,2018,"HS12",27.394
"ARE","United Arab Emirates","CHE","Switzerland",30617,2018,"HS12",1.24
"ARE","United Arab Emirates","CHE","Switzerland",160529,2018,"HS12",0.2
"ARE","United Arab Emirates","CHN","China",160521,2018,"HS12",0.98
"ARE","United Arab Emirates","CHN","China",160529,2018,"HS12",1.974
"ARE","United Arab Emirates","DJI","Djibouti",160521,2018,"HS12",8.823
"ARE","United Arab Emirates","DJI","Djibouti",160529,2018,"HS12",0.321
"ARE","United Arab Emirates","EGY","Egypt",30616,2018,"HS12",343.075
"ARE","United Arab Emirates","EGY","Egypt",30617,2018,"HS12",3534.218
"ARE","United Arab Emirates","EGY","Egypt",160521,2018,"HS12",4152.525
"ARE","United Arab Emirates","EGY","Egypt",160529,2018,"HS12",7396.655
"ARE","United Arab Emirates","ERI","Eritrea",30617,2018,"HS12",2
"ARE","United Arab Emirates","ERI","Eritrea",160521,2018,"HS12",2.985
"ARE","United Arab Emirates","ERI","Eritrea",160529,2018,"HS12",2
"ARE","United Arab Emirates","ETH","Ethiopia",30617,2018,"HS12",3.558
"ARE","United Arab Emirates","ETH","Ethiopia",160529,2018,"HS12",96.634
"ARE","United Arab Emirates","FJI","Fiji",30627,2018,"HS12",10.687
"ARE","United Arab Emirates","FRA","France",30616,2018,"HS12",10.828
"ARE","United Arab Emirates","FRA","France",160529,2018,"HS12",21.3
"ARE","United Arab Emirates","GEO","Georgia",30616,2018,"HS12",0.041
"ARE","United Arab Emirates","GEO","Georgia",30617,2018,"HS12",0.636
"ARE","United Arab Emirates","GEO","Georgia",30626,2018,"HS12",1.451
"ARE","United Arab Emirates","GEO","Georgia",30627,2018,"HS12",0.951
"ARE","United Arab Emirates","GEO","Georgia",160529,2018,"HS12",0.039
"ARE","United Arab Emirates","IND","India",30617,2018,"HS12",61.785
"ARE","United Arab Emirates","IND","India",160521,2018,"HS12",33
"ARE","United Arab Emirates","IRN","Iran",30617,2018,"HS12",61.213
"ARE","United Arab Emirates","IRN","Iran",30627,2018,"HS12",0.58
"ARE","United Arab Emirates","IRN","Iran",160521,2018,"HS12",0.1
"ARE","United Arab Emirates","IRQ","Iraq",160521,2018,"HS12",1.669
"ARE","United Arab Emirates","IRQ","Iraq",160529,2018,"HS12",27.195
"ARE","United Arab Emirates","JOR","Jordan",30616,2018,"HS12",18.227
"ARE","United Arab Emirates","JOR","Jordan",30617,2018,"HS12",270.423
"ARE","United Arab Emirates","JOR","Jordan",30627,2018,"HS12",0.686
"ARE","United Arab Emirates","JOR","Jordan",160521,2018,"HS12",2.05
"ARE","United Arab Emirates","KEN","Kenya",30616,2018,"HS12",0.709
"ARE","United Arab Emirates","KEN","Kenya",30617,2018,"HS12",0.526
"ARE","United Arab Emirates","KEN","Kenya",160521,2018,"HS12",0.66
"ARE","United Arab Emirates","KOR","South Korea",30617,2018,"HS12",0.005
"ARE","United Arab Emirates","KOR","South Korea",160529,2018,"HS12",0.012
"ARE","United Arab Emirates","KWT","Kuwait",30616,2018,"HS12",337.253
"ARE","United Arab Emirates","KWT","Kuwait",30617,2018,"HS12",1635.722
"ARE","United Arab Emirates","KWT","Kuwait",30627,2018,"HS12",111.816
"ARE","United Arab Emirates","KWT","Kuwait",160521,2018,"HS12",2.928
"ARE","United Arab Emirates","KWT","Kuwait",160529,2018,"HS12",44.468
"ARE","United Arab Emirates","LBN","Lebanon",30616,2018,"HS12",74.292
"ARE","United Arab Emirates","LBN","Lebanon",30617,2018,"HS12",3.561
"ARE","United Arab Emirates","LBN","Lebanon",160521,2018,"HS12",26.339
"ARE","United Arab Emirates","LBN","Lebanon",160529,2018,"HS12",14.409
"ARE","United Arab Emirates","MAR","Morocco",30616,2018,"HS12",58.2
"ARE","United Arab Emirates","MAR","Morocco",30617,2018,"HS12",264.04
"ARE","United Arab Emirates","MAR","Morocco",160521,2018,"HS12",21.471
"ARE","United Arab Emirates","MAR","Morocco",160529,2018,"HS12",3.38
"ARE","United Arab Emirates","MDV","Maldives",30616,2018,"HS12",2.938
"ARE","United Arab Emirates","MDV","Maldives",30617,2018,"HS12",63.577
"ARE","United Arab Emirates","MDV","Maldives",30626,2018,"HS12",2.904
"ARE","United Arab Emirates","MDV","Maldives",30627,2018,"HS12",11.278
"ARE","United Arab Emirates","MDV","Maldives",160521,2018,"HS12",44.395
"ARE","United Arab Emirates","MDV","Maldives",160529,2018,"HS12",11.835
"ARE","United Arab Emirates","MEX","Mexico",160521,2018,"HS12",10.81
"ARE","United Arab Emirates","MLI","Mali",30617,2018,"HS12",19.203
"ARE","United Arab Emirates","MOZ","Mozambique",160529,2018,"HS12",0.05
"ARE","United Arab Emirates","MUS","Mauritius",30616,2018,"HS12",18.667
"ARE","United Arab Emirates","MUS","Mauritius",30617,2018,"HS12",16.776
"ARE","United Arab Emirates","MYS","Malaysia",30617,2018,"HS12",48
"ARE","United Arab Emirates","MYS","Malaysia",160529,2018,"HS12",27.5
"ARE","United Arab Emirates","NGA","Nigeria",160529,2018,"HS12",16.851
"ARE","United Arab Emirates","OMN","Oman",30616,2018,"HS12",73.918
"ARE","United Arab Emirates","OMN","Oman",30617,2018,"HS12",1228.447
"ARE","United Arab Emirates","OMN","Oman",30627,2018,"HS12",14.876
"ARE","United Arab Emirates","OMN","Oman",160521,2018,"HS12",29.586
"ARE","United Arab Emirates","OMN","Oman",160529,2018,"HS12",78.527
"ARE","United Arab Emirates","PAK","Pakistan",30616,2018,"HS12",0.531
"ARE","United Arab Emirates","PAK","Pakistan",30617,2018,"HS12",11.111
"ARE","United Arab Emirates","PAK","Pakistan",160529,2018,"HS12",39.185
"ARE","United Arab Emirates","SAU","Saudi Arabia",30616,2018,"HS12",1744.881
"ARE","United Arab Emirates","SAU","Saudi Arabia",30617,2018,"HS12",6132.052
"ARE","United Arab Emirates","SAU","Saudi Arabia",30626,2018,"HS12",15.368
"ARE","United Arab Emirates","SAU","Saudi Arabia",30627,2018,"HS12",183.592
"ARE","United Arab Emirates","SAU","Saudi Arabia",160521,2018,"HS12",40.81
"ARE","United Arab Emirates","SAU","Saudi Arabia",160529,2018,"HS12",614.171
"ARE","United Arab Emirates","SDN","Sudan",30617,2018,"HS12",16
"ARE","United Arab Emirates","SEN","Senegal",160529,2018,"HS12",42.585
"ARE","United Arab Emirates","SGP","Singapore",160521,2018,"HS12",0.163
"ARE","United Arab Emirates","SOM","Somalia",160529,2018,"HS12",0.05
"ARE","United Arab Emirates","SYC","Seychelles",30616,2018,"HS12",0.946
"ARE","United Arab Emirates","SYC","Seychelles",30617,2018,"HS12",21.833
"ARE","United Arab Emirates","SYC","Seychelles",30626,2018,"HS12",0.26
"ARE","United Arab Emirates","SYC","Seychelles",30627,2018,"HS12",4.354
"ARE","United Arab Emirates","SYC","Seychelles",160521,2018,"HS12",2.11
"ARE","United Arab Emirates","SYC","Seychelles",160529,2018,"HS12",4.312
"ARE","United Arab Emirates","THA","Thailand",160529,2018,"HS12",0.002
"ARE","United Arab Emirates","TKM","Turkmenistan",30617,2018,"HS12",2.815
"ARE","United Arab Emirates","TUN","Tunisia",30617,2018,"HS12",62.026
"ARE","United Arab Emirates","TUN","Tunisia",160521,2018,"HS12",5.504
"ARE","United Arab Emirates","TUN","Tunisia",160529,2018,"HS12",185.775
"ARE","United Arab Emirates","TUR","Turkey",30617,2018,"HS12",1.1
"ARE","United Arab Emirates","TWN","Taiwan",160529,2018,"HS12",6.16
"ARE","United Arab Emirates","TZA","Tanzania",30617,2018,"HS12",0.148
"ARE","United Arab Emirates","TZA","Tanzania",160521,2018,"HS12",0.3
"ARE","United Arab Emirates","TZA","Tanzania",160529,2018,"HS12",6.95
"ARE","United Arab Emirates","USA","United States",30617,2018,"HS12",36.087
"ARE","United Arab Emirates","USA","United States",160521,2018,"HS12",154.316
"ARE","United Arab Emirates","USA","United States",160529,2018,"HS12",0.012
"ARE","United Arab Emirates","UZB","Uzbekistan",30616,2018,"HS12",1.583
"ARE","United Arab Emirates","UZB","Uzbekistan",30626,2018,"HS12",0.9
"ARE","United Arab Emirates","VNM","Vietnam",30617,2018,"HS12",1301.315
"ARE","United Arab Emirates","VNM","Vietnam",160521,2018,"HS12",1091.36
"ARE","United Arab Emirates","VNM","Vietnam",160529,2018,"HS12",52.3
"ARE","United Arab Emirates","ZAF","South Africa",30617,2018,"HS12",0.027
"ARG","Argentina","AGO","Angola",30617,2018,"HS12",26.088
"ARG","Argentina","ALB","Albania",30617,2018,"HS12",106.488
"ARG","Argentina","ARE","United Arab Emirates",30616,2018,"HS12",2.086
"ARG","Argentina","ARE","United Arab Emirates",30617,2018,"HS12",133.722
"ARG","Argentina","ARE","United Arab Emirates",160529,2018,"HS12",0.17
"ARG","Argentina","ARM","Armenia",30617,2018,"HS12",0.012
"ARG","Argentina","AUS","Australia",30617,2018,"HS12",8.713
"ARG","Argentina","AUS","Australia",160529,2018,"HS12",7.512
"ARG","Argentina","AUT","Austria",30617,2018,"HS12",26.582
