"exporter_iso3c","exporter_country","importer_iso3c","importer_country","hs6","year","hs_version","total_q","total_v"
"AFG","Afghanistan","CAN","Canada","030627",2018,"HS12",0.15,2.281
"AGO","Angola","ESP","Spain","030616",2018,"HS12",522.896,2638.2
"AGO","Angola","ESP","Spain","030617",2018,"HS12",1259.018,17580.03
"AGO","Angola","NAM","Namibia","030617",2018,"HS12",0.066,0.627
"AGO","Angola","PRT","Portugal","030617",2018,"HS12",728.778,7558.619
"ALB","Albania","CHE","Switzerland","030617",2018,"HS12",0.252,4.042
"ALB","Albania","DNK","Denmark","030617",2018,"HS12",18.58,193.93
"ALB","Albania","ESP","Spain","030617",2018,"HS12",152.836,832.199
"ALB","Albania","EST","Estonia","160529",2018,"HS12",520.464,8516.538
"ALB","Albania","FRA","France","030617",2018,"HS12",1.698,16.135
"ALB","Albania","ITA","Italy","030617",2018,"HS12",152.088,2510.818
"ALB","Albania","ITA","Italy","160521",2018,"HS12",5.886,82.345
"ALB","Albania","ITA","Italy","160529",2018,"HS12",2.189,23.517
"ALB","Albania","MNE","Montenegro","030617",2018,"HS12",2.432,16.939
"ALB","Albania","SRB","Serbia","030617",2018,"HS12",14.233,106.946
"ALB","Albania","SRB","Serbia","030627",2018,"HS12",0.636,13.709
"ALB","Albania","SWE","Sweden","160521",2018,"HS12",2202,20185.691
"ARE","United Arab Emirates","AFG","Afghanistan","030616",2018,"HS12",5.495,84.909
"ARE","United Arab Emirates","AFG","Afghanistan","030617",2018,"HS12",24.216,197.057
"ARE","United Arab Emirates","AFG","Afghanistan","030626",2018,"HS12",12.662,25.139
"ARE","United Arab Emirates","AFG","Afghanistan","030627",2018,"HS12",0.317,3.164
"ARE","United Arab Emirates","AFG","Afghanistan","160521",2018,"HS12",13.894,37.121
"ARE","United Arab Emirates","AFG","Afghanistan","160529",2018,"HS12",179.585,304.376
"ARE","United Arab Emirates","AZE","Azerbaijan","030616",2018,"HS12",4.652,59.642
"ARE","United Arab Emirates","AZE","Azerbaijan","030617",2018,"HS12",3.251,28.898
"ARE","United Arab Emirates","AZE","Azerbaijan","030626",2018,"HS12",2.42,25.767
