"country_iso3_alpha","country_iso3_numeric","country_name_en","SciName","CommonName","taxa_source","year","Species01","Genus01","Family01","Other01","habitat","prod_method","quantity"
"MOZ",508,"Mozambique","acetes erythraeus","tsivakihini paste shrimp","acetes.erythraeus_marine_capture",2018,1,0,0,0,"marine","capture",3535
"CHN",156,"China","acetes japonicus","akiami paste shrimp","acetes.japonicus_marine_capture",2018,1,0,0,0,"marine","capture",425185
"KOR",410,"Korea, Republic of","acetes japonicus","akiami paste shrimp","acetes.japonicus_marine_capture",2018,1,0,0,0,"marine","capture",13478
"ESP",724,"Spain","aristaeomorpha foliacea","giant red shrimp","aristaeomorpha.foliacea_marine_capture",2018,1,0,0,0,"marine","capture",9
"ITA",380,"Italy","aristaeomorpha foliacea","giant red shrimp","aristaeomorpha.foliacea_marine_capture",2018,1,0,0,0,"marine","capture",2535
"MLT",470,"Malta","aristaeomorpha foliacea","giant red shrimp","aristaeomorpha.foliacea_marine_capture",2018,1,0,0,0,"marine","capture",31
"ESP",724,"Spain","aristaeopsis edwardsiana","scarlet shrimp","aristaeopsis.edwardsiana_marine_capture",2018,1,0,0,0,"marine","capture",54
"PRT",620,"Portugal","aristaeopsis edwardsiana","scarlet shrimp","aristaeopsis.edwardsiana_marine_capture",2018,1,0,0,0,"marine","capture",74
"ALB",8,"Albania","aristeus antennatus","blue and red shrimp","aristeus.antennatus_marine_capture",2018,1,0,0,0,"marine","capture",125
"DZA",12,"Algeria","aristeus antennatus","blue and red shrimp","aristeus.antennatus_marine_capture",2018,1,0,0,0,"marine","capture",840
"ESP",724,"Spain","aristeus antennatus","blue and red shrimp","aristeus.antennatus_marine_capture",2018,1,0,0,0,"marine","capture",2184
"ITA",380,"Italy","aristeus antennatus","blue and red shrimp","aristeus.antennatus_marine_capture",2018,1,0,0,0,"marine","capture",1188
"PRT",620,"Portugal","aristeus antennatus","blue and red shrimp","aristeus.antennatus_marine_capture",2018,1,0,0,0,"marine","capture",72
"TUN",788,"Tunisia","aristeus antennatus","blue and red shrimp","aristeus.antennatus_marine_capture",2018,1,0,0,0,"marine","capture",104
"AGO",24,"Angola","aristeus varidens","striped red shrimp","aristeus.varidens_marine_capture",2018,1,0,0,0,"marine","capture",1079
"ESP",724,"Spain","aristeus varidens","striped red shrimp","aristeus.varidens_marine_capture",2018,1,0,0,0,"marine","capture",1979
"ARG",32,"Argentina","artemesia longinaris","argentine stiletto shrimp","artemesia.longinaris_marine_capture",2018,1,0,0,0,"marine","capture",56
